TPLsp_append,OrganismType,SpeciesAuthor,Kingdom,Phylum,Class,Order,Family,SpeciesAccepted,Taxonomic.status,TPLsp
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_4,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_5,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_6,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_7,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_8,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium pitcheri,Herbaceous perennial,Cirsium_pitcheri_9,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium pitcheri,Accepted,Cirsium pitcheri
Cirsium scariosum,Herbaceous perennial,Cirsium_scariosum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium scariosum,Accepted,Cirsium scariosum
Cirsium scariosum,Herbaceous perennial,Cirsium_scariosum_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium scariosum,Accepted,Cirsium scariosum
Cirsium undulatum,Herbaceous perennial,Cirsium_undulatum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium undulatum,Accepted,Cirsium undulatum
Cirsium undulatum,Herbaceous perennial,Cirsium_undulatum_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium undulatum,Accepted,Cirsium undulatum
Cirsium tracyi,Herbaceous perennial,Cirsium_undulatum_var._tracyi,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium tracyi,Accepted,Cirsium tracyi
Cirsium tracyi,Herbaceous perennial,Cirsium_undulatum_var._tracyi_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium tracyi,Accepted,Cirsium tracyi
Cirsium vulgare,Herbaceous perennial,Cirsium_vulgare,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium vulgare,Accepted,Cirsium vulgare
Cirsium vulgare,Herbaceous perennial,Cirsium_vulgare_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium vulgare,Accepted,Cirsium vulgare
Cirsium vulgare,Herbaceous perennial,Cirsium_vulgare_3,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Cirsium vulgare,Accepted,Cirsium vulgare
Cleistesiopsis bifaria,Herbaceous perennial,Cleistes_divaricata_var._bifaria,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cleistesiopsis bifaria,Accepted,Cleistesiopsis bifaria
Cleistesiopsis divaricata,Herbaceous perennial,Cleistes_divaricata_var._divaricata,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cleistesiopsis divaricata,Accepted,Cleistesiopsis divaricata
Cleome droserifolia,Herbaceous perennial,Cleome_droserifolia,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleome droserifolia,Accepted,Cleome droserifolia
Clintonia borealis,Herbaceous perennial,Clintonia_borealis,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Clintonia borealis,Accepted,Clintonia borealis
Cochlearia bavarica,Herbaceous perennial,Cochlearia_bavarica,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Cochlearia bavarica,Accepted,Cochlearia bavarica
Cochlearia pyrenaica,Herbaceous perennial,Cochlearia_pyrenaica,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Cochlearia pyrenaica,Accepted,Cochlearia pyrenaica
Colchicum autumnale,Herbaceous perennial,Colchicum_autumnale,Plantae,Magnoliophyta,Liliopsida,Liliales,Colchicaceae,Colchicum autumnale,Accepted,Colchicum autumnale
Colchicum autumnale,Herbaceous perennial,Colchicum_autumnale_2,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum autumnale,Accepted,Colchicum autumnale
Commelina benghalensis,Herbaceous perennial,Commelina_benghalensis,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Commelina benghalensis,Accepted,Commelina benghalensis
Commelina bracteosa,Herbaceous perennial,Commelina_bracteosa,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Commelina bracteosa,Accepted,Commelina bracteosa
Corallorhiza trifida,Herbaceous perennial,Corallorhiza_trifida,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza trifida,Accepted,Corallorhiza trifida
Crotalaria avonensis,Herbaceous perennial,Crotalaria_avonensis ,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria avonensis,Accepted,Crotalaria avonensis
Cryptantha flava,Herbaceous perennial,Cryptantha_flava,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Cryptantha flava,Accepted,Cryptantha flava
Cucurbita pepo,Herbaceous perennial,Cucurbita_pepo,Plantae,Magnoliophyta,Magnoliopsida,Curcurbitales,Cucurbitaceae,Cucurbita pepo,Accepted,Cucurbita pepo
Cyclopogon luteoalbus,Herbaceous perennial,Cyclopogon_luteoalbus,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon luteoalbus,Accepted,Cyclopogon luteoalbus
Cynoglossum officinale,Herbaceous perennial,Cynoglossum_officinale,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Cynoglossum officinale,Accepted,Cynoglossum officinale
Cynoglossum officinale,Herbaceous perennial,Cynoglossum_officinale_2,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossum officinale,Accepted,Cynoglossum officinale
Cynoglossum virginianum,Herbaceous perennial,Cynoglossum_virginianum,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Cynoglossum virginianum,Accepted,Cynoglossum virginianum
Cynoglossum officinale,Herbaceous perennial,Cynoglossum_vulgare,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Cynoglossum officinale,Accepted,Cynoglossum officinale
Cypripedium acaule,Herbaceous perennial,Cypripedium_acaule,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium acaule,Accepted,Cypripedium acaule
Cypripedium calceolus,Herbaceous perennial,Cypripedium_calceolus,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium calceolus,Accepted,Cypripedium calceolus
Cypripedium calceolus,Herbaceous perennial,Cypripedium_calceolus_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium calceolus,Accepted,Cypripedium calceolus
Cypripedium calceolus,Herbaceous perennial,Cypripedium_calceolus_3,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium calceolus,Accepted,Cypripedium calceolus
Cypripedium calceolus,Herbaceous perennial,Cypripedium_calceolus_4,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium calceolus,Accepted,Cypripedium calceolus
Cypripedium fasciculatum,Herbaceous perennial,Cypripedium_fasciculatum,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium fasciculatum,Accepted,Cypripedium fasciculatum
Cypripedium lentiginosum,Herbaceous perennial,Cypripedium_lentiginosum,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium lentiginosum,Accepted,Cypripedium lentiginosum
Cypripedium parviflorum,Herbaceous perennial,Cypripedium_parviflorum_var._parviflorum,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium parviflorum,Accepted,Cypripedium parviflorum
Dactylorhiza lapponica,Herbaceous perennial,Dactylorhiza_lapponica,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza lapponica,Accepted,Dactylorhiza lapponica
Dactylorhiza lapponica,Herbaceous perennial,Dactylorhiza_lapponica_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza lapponica,Accepted,Dactylorhiza lapponica
Dactylorhiza lapponica,Herbaceous perennial,Dactylorhiza_lapponica_3,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza lapponica,Accepted,Dactylorhiza lapponica
Danthonia sericea,Herbaceous perennial,Danthonia_sericea,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Danthonia sericea,Accepted,Danthonia sericea
Daucus carota,Herbaceous perennial,Daucus_carota,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Daucus carota,Accepted,Daucus carota
Dicentra canadensis,Herbaceous perennial,Dicentra_canadensis,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Dicentra canadensis,Accepted,Dicentra canadensis
Dicerandra frutescens,Herbaceous perennial,Dicerandra_frutescens,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Dicerandra frutescens,Accepted,Dicerandra frutescens
Digitalis purpurea,Herbaceous perennial,Digitalis_purpurea,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis purpurea,Accepted,Digitalis purpurea
Digitalis purpurea,Herbaceous perennial,Digitalis_purpurea_2,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis purpurea,Accepted,Digitalis purpurea
Digitaria eriantha,Herbaceous perennial,Digitaria_eriantha,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Digitaria eriantha,Accepted,Digitaria eriantha
Dipsacus fullonum,Herbaceous perennial,Dipsacus_sylvestris,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus fullonum,Accepted,Dipsacus fullonum
Dipsacus fullonum,Herbaceous perennial,Dipsacus_sylvestris_2,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus fullonum,Accepted,Dipsacus fullonum
Dipsacus fullonum,Herbaceous perennial,Dipsacus_sylvestris_3,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus fullonum,Accepted,Dipsacus fullonum
Disporum sessile,Herbaceous perennial,Disporum_sessile,Plantae,Magnoliophyta,Liliopsida,Liliales,Colchicaceae,Disporum sessile,Accepted,Disporum sessile
Disporum sessile,Herbaceous perennial,Disporum_sessile_2,Plantae,Magnoliophyta,Liliopsida,Liliales,Colchicaceae,Disporum sessile,Accepted,Disporum sessile
Disporum smilacinum,Herbaceous perennial,Disporum_smilacinum,Plantae,Magnoliophyta,Liliopsida,Liliales,Colchicaceae,Disporum smilacinum,Accepted,Disporum smilacinum
Disporum smilacinum,Herbaceous perennial,Disporum_smilacinum_2,Plantae,Magnoliophyta,Liliopsida,Liliales,Colchicaceae,Disporum smilacinum,Accepted,Disporum smilacinum
Dorycnium spectabile,Herbaceous perennial,Dorycnium_spectabile,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Dorycnium spectabile,Accepted,Dorycnium spectabile
Draba asterophora,Herbaceous perennial,Draba_asterophora,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Draba asterophora,Accepted,Draba asterophora
Dracocephalum austriacum,Herbaceous perennial,Dracocephalum_austriacum,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum austriacum,Accepted,Dracocephalum austriacum
Dracocephalum austriacum,Herbaceous perennial,Dracocephalum_austriacum_2,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum austriacum,Accepted,Dracocephalum austriacum
Dracocephalum austriacum,Herbaceous perennial,Dracocephalum_austriacum_3,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum austriacum,Accepted,Dracocephalum austriacum
Drosera anglica,Herbaceous perennial,Drosera_anglica,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera anglica,Accepted,Drosera anglica
Drosera rotundifolia,Herbaceous perennial,Drosera_rotundifolia,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera rotundifolia,Accepted,Drosera rotundifolia
Dryas octopetala,Herbaceous perennial,Dryas_octopetala,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Dryas octopetala,Accepted,Dryas octopetala
Echinacea angustifolia,Herbaceous perennial,Echinacea_angustifolia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Echinacea angustifolia,Accepted,Echinacea angustifolia
Echinacea angustifolia,Herbaceous perennial,Echinacea_angustifolia_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Echinacea angustifolia,Accepted,Echinacea angustifolia
Echinacea angustifolia,Herbaceous perennial,Echinacea_angustifolia_3,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Echinacea angustifolia,Accepted,Echinacea angustifolia
Echinacea angustifolia,Herbaceous perennial,Echinacea_angustifolia_4,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Echinacea angustifolia,Accepted,Echinacea angustifolia
Echinospartum ibericum,Herbaceous perennial,Echinospartum_algibicum,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Echinospartum ibericum algibicum,Unresolved,Echinospartum ibericum
Echium vulgare,Herbaceous perennial,Echium_vulgare,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Boraginaceae,Echium vulgare,Accepted,Echium vulgare
Epilobium latifolium,Herbaceous perennial,Epilobium_latifolium,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium latifolium,Accepted,Epilobium latifolium
Epipactis atrorubens,Herbaceous perennial,Epipactis_atrorubens,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Epipactis atrorubens,Accepted,Epipactis atrorubens
Epipactis atrorubens,Herbaceous perennial,Epipactis_atrorubens_2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epipactis atrorubens,Accepted,Epipactis atrorubens
Erigeron acer,Herbaceous perennial,Erigeron_acer_subsp._decoloratus,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Erigeron acer brachycephalus,Unresolved,Erigeron acer
Erigeron kachinensis,Herbaceous perennial,Erigeron_kachinensis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Erigeron kachinensis,Accepted,Erigeron kachinensis
Eriogonum longifolium,Herbaceous perennial,Eriogonum_longifolium_var._gnaphalifolium,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum longifolium gnaphalifolium,Accepted,Eriogonum longifolium
Eriogonum longifolium,Herbaceous perennial,Eriogonum_longifolium_var._gnaphalifolium_2,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum longifolium gnaphalifolium,Accepted,Eriogonum longifolium
Eriophorum angustifolium,Herbaceous perennial,Eriophorum_angustifolium_subsp._triste,Plantae,Magnoliophyta,Liliopsida,Poales,Cyperaceae,Eriophorum angustifolium triste,Accepted,Eriophorum angustifolium
Eriophorum vaginatum,Herbaceous perennial,Eriophorum_vaginatum,Plantae,Magnoliophyta,Liliopsida,Poales,Cyperaceae,Eriophorum vaginatum,Accepted,Eriophorum vaginatum
Eriophorum vaginatum,Herbaceous perennial,Eriophorum_vaginatum_2,Plantae,Magnoliophyta,Liliopsida,Poales,Cyperaceae,Eriophorum vaginatum,Accepted,Eriophorum vaginatum
Erodium paularense,Herbaceous perennial,Erodium_paularense,Plantae,Magnoliophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium paularense,Unresolved,Erodium paularense
Eryngium alpinum,Herbaceous perennial,Eryngium_alpinum,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium alpinum,Accepted,Eryngium alpinum
Eryngium cuneifolium,Herbaceous perennial,Eryngium_cuneifolium,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium cuneifolium,Accepted,Eryngium cuneifolium
Eryngium maritimum,Herbaceous perennial,Eryngium_maritimum,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium maritimum,Accepted,Eryngium maritimum
Erysimum capitatum,Herbaceous perennial,Erysimum_capitatum_subsp._angustatum,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum capitatum angustatum,Accepted,Erysimum capitatum
Erythronium japonicum,Herbaceous perennial,Erythronium_japonicum,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Erythronium japonicum,Accepted,Erythronium japonicum
Erythronium japonicum,Herbaceous perennial,Erythronium_japonicum_2,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Erythronium japonicum,Accepted,Erythronium japonicum
Erythronium japonicum,Herbaceous perennial,Erythronium_japonicum_3,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Erythronium japonicum,Accepted,Erythronium japonicum
Eschscholzia californica,Herbaceous perennial,Eschscholzia_californica,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,Accepted,Eschscholzia californica
Eupatorium perfoliatum,Herbaceous perennial,Eupatorium_perfoliatum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Eupatorium perfoliatum,Accepted,Eupatorium perfoliatum
Eupatorium resinosum,Herbaceous perennial,Eupatorium_resinosum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Eupatorium resinosum,Accepted,Eupatorium resinosum
Festuca eskia,Herbaceous perennial,Festuca_eskia,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca eskia,Accepted,Festuca eskia
Festuca gracillima,Herbaceous perennial,Festuca_gracillima,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca gracillima,Accepted,Festuca gracillima
Fragaria vesca,Herbaceous perennial,Fragaria_vesca,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria vesca,Accepted,Fragaria vesca
Frasera speciosa,Herbaceous perennial,Frasera_speciosa,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Frasera speciosa,Accepted,Frasera speciosa
Fritillaria camschatcensis,Herbaceous perennial,Fritillaria_camtschatcensis,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Fritillaria camschatcensis,Accepted,Fritillaria camschatcensis
Fritillaria biflora,Herbaceous perennial,Fritillaria_camtschatcensis_2,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Fritillaria biflora,Accepted,Fritillaria biflora
Fritillaria meleagris,Herbaceous perennial,Fritillaria_meleagris,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Fritillaria meleagris,Accepted,Fritillaria meleagris
Gaura neomexicana,Herbaceous perennial,Gaura_neomexicana_subsp._coloradensis,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Onagraceae,Gaura neomexicana coloradensis,Accepted,Gaura neomexicana
Gentiana pneumonanthe,Herbaceous perennial,Gentiana_pneumonanthe,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana pneumonanthe,Accepted,Gentiana pneumonanthe
Gentiana pneumonanthe,Herbaceous perennial,Gentiana_pneumonanthe_2,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana pneumonanthe,Accepted,Gentiana pneumonanthe
Gentianella amarella,Herbaceous perennial,Gentianella_amarella,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianella amarella,Accepted,Gentianella amarella
Gentianella campestris,Herbaceous perennial,Gentianella_campestris,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianella campestris,Accepted,Gentianella campestris
Gentianella bohemica,Herbaceous perennial,Gentianella_praecox_subsp._bohemica,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianella bohemica,Accepted,Gentianella bohemica
Geranium sylvaticum,Herbaceous perennial,Geranium_sylvaticum,Plantae,Magnoliophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium sylvaticum,Accepted,Geranium sylvaticum
Geranium sylvaticum,Herbaceous perennial,Geranium_sylvaticum_2,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium sylvaticum,Accepted,Geranium sylvaticum
Geum reptans,Herbaceous perennial,Geum_reptans,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Geum reptans,Accepted,Geum reptans
Geum rivale,Herbaceous perennial,Geum_rivale,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Geum rivale,Accepted,Geum rivale
Goodyera pubescens,Herbaceous perennial,Goodyera_pubescens,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera pubescens,Accepted,Goodyera pubescens
Gymnadenia conopsea,Herbaceous perennial,Gymnadenia_conopsea,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Gymnadenia conopsea,Accepted,Gymnadenia conopsea
Hackelia micrantha,Herbaceous perennial,Hackelia_micrantha,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Hackelia micrantha,Accepted,Hackelia micrantha
Pyrrocoma radiata,Herbaceous perennial,Haplopappus_radiatus,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Pyrrocoma radiata,Accepted,Pyrrocoma radiata
Stenaria nigricans,Herbaceous perennial,Hedyotis_nigricans,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,Stenaria nigricans,Accepted,Stenaria nigricans
Helenium virginicum,Herbaceous perennial,Helenium_virginicum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Helenium virginicum,Accepted,Helenium virginicum
Helianthella quinquenervis,Herbaceous perennial,Helianthella_quinquenervis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthella quinquenervis,Accepted,Helianthella quinquenervis
Helianthemum polygonoides,Herbaceous perennial,Helianthemum_polygonoides,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum polygonoides,Unresolved,Helianthemum polygonoides
Helianthemum squamatum,Herbaceous perennial,Helianthemum_squamatum,Plantae,Tracheophyta,Magnoliopsida,Malvales Juss.,Cistaceae Juss.,Helianthemum squamatum,Accepted,Helianthemum squamatum
Helianthemum teneriffae,Herbaceous perennial,Helianthemum_teneriffae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum teneriffae,Unresolved,Helianthemum teneriffae
Helianthus divaricatus,Herbaceous perennial,Helianthus_divaricatus,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Helianthus divaricatus,Accepted,Helianthus divaricatus
Helianthus tuberosus,Herbaceous perennial,Helianthus_tuberosus,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Helianthus tuberosus,Accepted,Helianthus tuberosus
Heliconia acuminata,Herbaceous perennial,Heliconia_acuminata,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia acuminata,Accepted,Heliconia acuminata
Heliconia metallica,Herbaceous perennial,Heliconia_metallica,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia metallica,Accepted,Heliconia metallica
Heliconia tortuosa,Herbaceous perennial,Heliconia_tortuosa,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia tortuosa,Accepted,Heliconia tortuosa
Hepatica nobilis,Herbaceous perennial,Hepatica_nobilis,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica nobilis,Accepted,Hepatica nobilis
Heracleum mantegazzianum,Herbaceous perennial,Heracleum_mantegazzianum,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum mantegazzianum,Accepted,Heracleum mantegazzianum
Heracleum mantegazzianum,Herbaceous perennial,Heracleum_mantegazzianum_2,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum mantegazzianum,Accepted,Heracleum mantegazzianum
Heracleum mantegazzianum,Herbaceous perennial,Heracleum_mantegazzianum_3,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum mantegazzianum,Accepted,Heracleum mantegazzianum
Herminium monorchis,Herbaceous perennial,Herminium_monorchis,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Herminium monorchis,Accepted,Herminium monorchis
Stipa comata,Herbaceous perennial,Hesperostipa_comata,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Stipa comata,Accepted,Stipa comata
Heteropogon contortus,Herbaceous perennial,Heteropogon_contortus,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Heteropogon contortus,Accepted,Heteropogon contortus
Asarum arifolium,Herbaceous perennial,Hexastylis_arifolia,Plantae,Magnoliophyta,Magnoliopsida,Piperales,Aristolochiaceae,Asarum arifolium,Accepted,Asarum arifolium
Hibiscus meyeri,Herbaceous perennial,Hibiscus_meyeri,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus meyeri,Unresolved,Hibiscus meyeri
Hieracium floribundum,Herbaceous perennial,Hieracium_floribundum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Hieracium floribundum,Accepted,Hieracium floribundum
Hieracium lepidulum,Herbaceous perennial,Hieracium_lepidulum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Hieracium lepidulum,Accepted,Hieracium lepidulum
Pilosella officinarum,Herbaceous perennial,Hieracium_pilosella,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Pilosella officinarum,Accepted,Pilosella officinarum
Hilaria mutica,Herbaceous perennial,Hilaria_mutica,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Hilaria mutica,Accepted,Hilaria mutica
Himantoglossum hircinum,Herbaceous perennial,Himantoglossum_hircinum,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Himantoglossum hircinum,Accepted,Himantoglossum hircinum
Himantoglossum hircinum,Herbaceous perennial,Himantoglossum_hircinum_2,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Himantoglossum hircinum,Accepted,Himantoglossum hircinum
Horkelia congesta,Herbaceous perennial,Horkelia_congesta,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Horkelia congesta,Accepted,Horkelia congesta
Hudsonia montana,Herbaceous perennial,Hudsonia_montana,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Hudsonia montana,Accepted,Hudsonia montana
Hydrastis canadensis,Herbaceous perennial,Hydrastis_canadensis,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hydrastis canadensis,Accepted,Hydrastis canadensis
Hydrastis canadensis,Herbaceous perennial,Hydrastis_canadensis_2,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hydrastis canadensis,Accepted,Hydrastis canadensis
Hydrastis canadensis,Herbaceous perennial,Hydrastis_canadensis_3,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hydrastis canadensis,Accepted,Hydrastis canadensis
